t # 0
v 0 11
v 1 17
v 2 6
v 3 5
v 4 12
v 5 19
v 6 17
v 7 10
v 8 19
v 9 11
e 10 11 17
t # 630
v 0 0
v 1 16
v 2 2
v 3 14
v 4 15
v 5 0
v 6 17
v 7 1
v 8 2
v 9 5
v 10 1
v 11 14
e 0 1 17
e 0 2 12
e 0 3 4
e 0 11 4
e 1 5 17
e 1 6 5
e 1 3 6
e 2 4 9
e 2 7 11
e 2 5 12
e 2 6 9
e 2 8 3
e 3 11 6
e 3 5 4
e 4 6 2
e 4 8 3
e 5 11 4
e 5 8 12
e 6 8 6
e 7 9 19
e 7 8 11
e 9 10 19
e 10 11 9
t # 631
v 0 15
v 1 17
v 2 8
v 3 12
v 4 9
v 5 17
v 6 15
v 7 2
v 8 17
v 9 19
v 10 2
v 11 9
v 12 1
e 0 1 18
e 0 2 10
e 0 7 3
e 0 10 3
e 0 6 18
e 0 4 18
e 1 6 18
e 1 5 7
e 1 7 9
e 2 3 14
e 2 4 14
e 2 5 6
e 3 5 4
e 3 8 5
e 3 9 5
e 3 11 12
e 4 12 2
e 4 11 3
e 5 6 2
e 5 8 7
e 7 10 3
e 8 10 9
e 10 12 11
t # 632
v 0 0
v 1 11
v 2 3
v 3 5
v 4 11
v 5 11
v 6 1
v 7 14
v 8 12
v 9 5
v 10 0
v 11 10
v 12 5
e 0 1 1
e 0 4 1
e 0 5 1
e 0 10 5
e 1 2 9
e 1 3 8
e 1 9 8
e 1 10 1
e 1 8 18
e 2 4 6
e 2 6 12
e 3 6 19
e 3 9 14
e 3 12 14
e 3 5 12
e 4 12 12
e 4 8 18
e 5 7 5
e 5 12 12
e 6 8 14
e 6 11 7
e 6 12 19
e 6 9 19
e 7 10 4
t # 633
v 0 1
v 1 14
v 2 13
v 3 4
v 4 2
v 5 4
v 6 13
v 7 9
v 8 1
v 9 9
v 10 18
v 11 7
v 12 4
e 0 1 9
e 0 2 10
e 0 7 3
e 0 9 3
e 1 8 9
e 1 10 6
e 1 12 3
e 1 9 15
e 1 5 3
e 1 7 15
e 2 3 9
e 2 4 11
e 2 5 14
e 2 12 9
e 2 11 11
e 2 8 10
e 3 5 12
e 3 10 16
e 4 8 11
e 5 6 9
e 5 10 16
e 5 11 12
e 6 8 10
e 7 11 17
e 8 9 2
e 11 12 12
t # 634
v 0 1
v 1 7
v 2 12
v 3 13
v 4 10
v 5 9
v 6 2
v 7 7
v 8 11
v 9 12
v 10 16
v 11 7
e 0 1 5
e 0 2 14
e 0 3 10
e 0 7 5
e 0 4 7
e 1 4 11
e 1 5 16
e 1 10 8
e 2 8 18
e 2 9 18
e 3 6 11
e 3 11 11
e 4 11 11
e 4 5 3
e 5 9 12
e 5 11 5
e 5 7 17
e 6 11 3
e 7 10 8
e 7 8 3
e 8 11 3
e 8 9 18
t # 635
v 0 4
v 1 14
v 2 3
v 3 1
v 4 18
v 5 19
v 6 14
v 7 8
v 8 9
v 9 11
v 10 3
v 11 12
e 0 1 3
e 0 2 19
e 0 5 8
e 0 6 3
e 0 4 16
e 0 10 16
e 1 3 9
e 1 4 19
e 1 6 6
e 2 10 13
e 2 9 6
e 3 7 0
e 3 8 2
e 3 6 9
e 4 5 16
e 4 7 10
e 5 6 0
e 6 7 9
e 7 9 9
e 7 11 14
e 9 10 17
t # 636
v 0 1
v 1 2
v 2 7
v 3 0
v 4 2
v 5 15
v 6 12
v 7 12
v 8 6
v 9 19
v 10 7
v 11 17
v 12 9
e 0 1 11
e 0 6 14
e 0 7 14
e 0 12 2
e 0 10 5
e 0 4 11
e 0 8 11
e 1 2 3
e 1 10 3
e 1 4 3
e 2 3 5
e 2 10 5
e 2 4 3
e 3 4 12
e 3 10 5
e 3 9 16
e 4 5 9
e 5 11 18
e 6 8 13
e 6 11 5
e 6 7 18
e 7 8 12
e 7 9 5
e 10 12 17
t # 637
v 0 10
v 1 15
v 2 9
v 3 19
v 4 10
v 5 7
v 6 9
v 7 8
v 8 12
e 0 1 14
e 0 3 12
e 0 8 1
e 0 6 3
e 1 2 18
e 1 6 18
e 2 4 3
e 2 5 17
e 2 6 3
e 4 5 3
e 6 7 14
e 7 8 14
t # 638
v 0 15
v 1 17
v 2 17
v 3 8
v 4 2
v 5 0
v 6 7
v 7 19
v 8 15
v 9 11
v 10 11
v 11 2
v 12 10
e 0 1 18
e 0 2 18
e 1 3 6
e 1 4 6
e 1 11 6
e 1 2 7
e 1 9 7
e 2 8 2
e 2 9 7
e 3 8 10
e 3 10 9
e 3 9 9
e 4 5 12
e 4 8 3
e 4 6 3
e 5 6 5
e 5 7 16
e 5 10 1
e 5 11 12
e 6 9 3
e 6 12 11
e 6 11 3
e 7 12 12
e 8 11 3
e 9 10 7
e 10 12 19
t # 639
v 0 8
v 1 11
v 2 14
v 3 8
v 4 17
v 5 17
v 6 14
v 7 18
v 8 11
v 9 0
e 0 1 9
e 0 2 9
e 0 7 10
e 0 8 9
e 0 5 6
e 1 3 9
e 2 3 9
e 2 9 4
e 3 4 6
e 3 5 6
e 3 6 9
e 3 8 9
e 6 9 4
e 6 7 19
t # 640
v 0 1
v 1 10
v 2 6
v 3 3
v 4 9
v 5 11
v 6 14
v 7 17
v 8 7
v 9 2
v 10 11
e 0 1 7
e 0 2 11
e 0 9 11
e 0 3 12
e 0 6 9
e 1 3 9
e 1 4 3
e 1 8 3
e 1 10 4
e 3 5 9
e 3 7 13
e 3 10 6
e 4 6 15
e 5 8 3
e 7 10 7
e 8 10 3
t # 641
v 0 5
v 1 13
v 2 10
v 3 7
v 4 11
v 5 10
v 6 10
v 7 7
v 8 10
v 9 0
v 10 3
v 11 3
e 0 1 14
e 0 2 4
e 0 4 8
e 0 6 4
e 0 11 1
e 1 7 11
e 1 10 1
e 1 11 1
e 1 3 11
e 2 3 11
e 2 8 3
e 2 11 9
e 3 5 11
e 3 8 11
e 4 8 19
e 4 6 4
e 4 10 6
e 6 8 3
e 7 9 5
e 8 10 9
e 10 11 13
t # 642
v 0 0
v 1 19
v 2 11
v 3 3
v 4 10
v 5 19
v 6 6
v 7 5
v 8 13
v 9 11
v 10 14
v 11 12
v 12 7
e 0 1 16
e 0 2 1
e 0 12 5
e 0 10 4
e 1 6 14
e 1 8 10
e 1 10 0
e 1 5 0
e 2 3 9
e 2 4 4
e 2 12 3
e 2 11 18
e 3 9 6
e 3 4 9
e 4 5 12
e 4 7 4
e 4 12 11
e 5 8 10
e 5 6 14
e 5 11 5
e 6 11 12
e 8 12 11
e 9 12 3
t # 643
v 0 10
v 1 12
v 2 9
v 3 19
v 4 1
v 5 18
v 6 1
v 7 9
e 0 1 1
e 0 2 3
e 0 3 12
e 0 7 3
e 1 7 12
e 1 6 14
e 2 4 2
e 2 6 2
e 3 5 11
t # 644
v 0 3
v 1 11
v 2 17
v 3 5
v 4 2
v 5 1
v 6 14
v 7 8
v 8 13
v 9 8
v 10 10
v 11 9
e 0 1 9
e 0 2 13
e 0 3 1
e 0 8 1
e 1 2 7
e 1 3 12
e 1 6 5
e 1 10 4
e 1 7 9
e 2 4 6
e 2 9 6
e 2 7 6
e 3 5 19
e 3 8 14
e 3 10 4
e 4 8 11
e 4 5 11
e 5 11 2
e 5 6 9
e 5 8 10
e 6 7 9
e 7 9 9
e 9 11 14
e 10 11 3
t # 645
v 0 3
v 1 5
v 2 3
v 3 1
v 4 13
v 5 1
v 6 1
v 7 7
v 8 9
v 9 17
v 10 11
v 11 2
e 0 1 1
e 0 4 1
e 0 5 12
e 0 10 9
e 0 9 13
e 0 2 13
e 0 3 12
e 1 2 1
e 1 3 19
e 1 6 19
e 1 10 12
e 2 9 13
e 2 6 12
e 4 7 11
e 4 6 10
e 5 11 11
e 5 7 5
e 6 8 2
e 7 8 17
e 7 11 3
e 9 11 9
t # 646
v 0 1
v 1 10
v 2 13
v 3 12
v 4 1
v 5 9
v 6 5
v 7 3
v 8 2
v 9 6
v 10 15
e 0 1 7
e 0 2 10
e 0 3 14
e 0 7 12
e 0 4 9
e 0 9 11
e 0 5 2
e 1 6 4
e 1 3 1
e 2 4 10
e 2 8 11
e 2 6 14
e 3 5 12
e 4 6 19
e 4 8 11
e 4 9 11
e 4 7 12
e 6 7 1
e 8 10 3
t # 647
v 0 16
v 1 17
v 2 8
v 3 16
v 4 8
v 5 7
v 6 19
v 7 16
v 8 13
v 9 18
e 0 1 5
e 0 4 17
e 0 9 11
e 0 2 17
e 1 2 6
e 1 7 5
e 1 4 6
e 2 3 17
e 2 6 1
e 2 8 15
e 3 5 8
e 3 9 11
e 4 8 15
e 4 7 17
e 5 7 8
e 7 9 11
t # 648
v 0 7
v 1 9
v 2 1
v 3 9
v 4 2
v 5 3
v 6 7
v 7 8
v 8 2
v 9 1
v 10 15
v 11 9
v 12 19
v 13 7
v 14 0
e 0 1 17
e 0 2 5
e 0 4 3
e 0 8 3
e 0 9 5
e 1 10 18
e 1 9 2
e 1 3 3
e 1 13 17
e 2 3 2
e 2 5 12
e 2 7 0
e 2 4 11
e 3 13 17
e 3 11 3
e 3 10 18
e 3 6 17
e 3 9 2
e 4 6 3
e 4 13 3
e 4 9 11
e 6 9 5
e 6 8 3
e 6 11 17
e 7 12 1
e 7 10 10
e 8 14 12
e 10 11 18
e 11 13 16
e 12 14 16
e 13 14 5
t # 649
v 0 18
v 1 19
v 2 6
v 3 14
v 4 0
v 5 12
v 6 0
v 7 16
v 8 14
v 9 4
e 0 1 16
e 0 3 19
e 0 8 19
e 1 2 14
e 1 5 5
e 1 9 15
e 1 6 16
e 1 8 0
e 2 5 13
e 3 4 4
e 3 6 4
e 3 7 6
e 4 7 17
e 4 6 5
e 6 8 4
e 8 9 6
t # 650
v 0 1
v 1 9
v 2 10
v 3 15
v 4 8
v 5 8
v 6 1
v 7 7
v 8 11
v 9 1
e 0 1 2
e 1 2 3
e 1 5 14
e 1 7 17
e 1 6 2
e 1 9 2
e 2 3 14
e 2 8 19
e 2 6 7
e 3 4 10
e 4 6 0
e 5 8 9
e 6 9 9
e 7 9 5
t # 651
v 0 8
v 1 15
v 2 18
v 3 14
v 4 8
v 5 14
v 6 19
v 7 1
v 8 11
v 9 15
v 10 18
v 11 17
e 0 1 10
e 0 2 10
e 0 5 9
e 0 6 1
e 0 8 9
e 0 3 9
e 0 10 10
e 0 9 10
e 1 4 10
e 1 11 2
e 1 9 18
e 2 3 6
e 2 10 19
e 3 7 9
e 3 10 19
e 3 5 6
e 4 9 10
e 4 11 6
e 5 10 6
e 5 6 0
e 8 11 7
e 9 11 18
t # 652
v 0 5
v 1 11
v 2 0
v 3 10
v 4 14
v 5 3
v 6 19
v 7 5
v 8 10
v 9 3
v 10 5
e 0 1 12
e 0 5 1
e 0 9 1
e 0 3 4
e 0 8 4
e 1 2 1
e 1 3 19
e 1 10 12
e 1 9 6
e 1 5 6
e 2 4 4
e 3 6 12
e 3 7 4
e 3 5 9
e 6 8 12
e 7 9 1
e 8 10 4
t # 653
v 0 10
v 1 15
v 2 10
v 3 12
v 4 8
v 5 4
v 6 6
v 7 1
v 8 12
v 9 2
v 10 10
v 11 10
e 0 1 14
e 0 3 1
e 0 10 3
e 0 8 1
e 0 11 3
e 1 2 14
e 1 9 9
e 1 11 14
e 2 7 7
e 2 10 3
e 3 4 14
e 3 5 4
e 3 6 12
e 3 11 1
e 3 8 18
e 3 10 1
e 5 8 4
e 6 7 11
e 7 10 7
e 7 9 11
e 8 10 1
e 10 11 3
t # 654
v 0 11
v 1 12
v 2 8
v 3 3
v 4 1
v 5 3
v 6 11
v 7 11
v 8 17
e 0 1 18
e 0 2 9
e 0 3 9
e 0 5 17
e 1 4 14
e 1 6 18
e 2 8 6
e 3 7 17
e 3 6 6
e 3 5 13
e 4 5 12
e 5 6 9
t # 655
v 0 11
v 1 14
v 2 8
v 3 17
v 4 3
v 5 12
v 6 4
v 7 11
v 8 12
v 9 17
v 10 12
e 0 1 5
e 0 3 7
e 0 4 9
e 0 8 18
e 0 2 9
e 1 2 9
e 1 7 5
e 2 9 6
e 2 8 14
e 2 5 14
e 2 10 14
e 3 5 4
e 4 7 6
e 4 9 13
e 5 6 4
e 5 9 4
e 7 8 18
e 7 10 18
e 8 9 5
e 9 10 4
t # 656
v 0 1
v 1 10
v 2 13
v 3 3
v 4 12
v 5 1
v 6 5
v 7 6
v 8 3
v 9 11
v 10 3
e 0 1 7
e 0 2 10
e 0 5 9
e 1 3 9
e 1 4 1
e 1 5 7
e 1 6 4
e 1 8 9
e 2 10 1
e 2 3 1
e 2 8 1
e 3 9 6
e 4 7 12
e 5 8 12
e 6 9 8
e 6 10 1
e 9 10 9
t # 657
v 0 9
v 1 10
v 2 19
v 3 19
v 4 18
v 5 7
v 6 1
v 7 9
v 8 8
v 9 9
v 10 4
v 11 18
v 12 7
e 0 1 3
e 0 5 16
e 0 9 3
e 0 6 2
e 1 2 12
e 1 3 12
e 1 6 7
e 1 7 3
e 2 4 16
e 2 8 1
e 3 4 16
e 4 10 16
e 5 7 16
e 5 10 12
e 5 9 17
e 5 6 5
e 6 7 2
e 6 12 5
e 7 8 14
e 7 9 3
e 7 12 17
e 8 9 14
e 9 12 16
e 10 11 3
t # 658
v 0 8
v 1 9
v 2 14
v 3 12
v 4 7
v 5 7
v 6 1
v 7 0
v 8 11
v 9 1
v 10 1
e 0 1 14
e 0 2 9
e 0 3 14
e 0 10 0
e 0 8 9
e 1 4 10
e 1 5 10
e 1 2 15
e 1 6 2
e 2 9 9
e 3 6 14
e 3 8 18
e 4 7 5
e 4 8 3
e 4 10 5
e 4 5 5
e 5 10 5
e 7 8 1
t # 659
v 0 9
v 1 10
v 2 7
v 3 12
v 4 2
v 5 0
v 6 15
v 7 11
v 8 1
v 9 19
v 10 7
v 11 15
v 12 9
e 0 1 3
e 0 2 10
e 0 11 18
e 0 12 3
e 0 10 17
e 1 3 1
e 1 9 12
e 1 10 11
e 1 6 14
e 2 4 3
e 2 12 10
e 2 5 5
e 3 8 14
e 4 5 12
e 4 6 9
e 4 11 9
e 5 7 1
e 5 10 5
e 6 12 18
e 6 11 18
e 7 10 3
e 8 10 5
e 10 12 17
t # 660
v 0 2
v 1 15
v 2 17
v 3 15
v 4 15
v 5 8
v 6 17
v 7 15
v 8 2
v 9 17
e 0 1 9
e 0 2 9
e 0 3 9
e 0 7 9
e 1 5 10
e 1 3 18
e 2 4 2
e 2 8 6
e 2 7 18
e 4 7 18
e 5 6 6
e 5 9 6
e 6 8 9
e 6 9 7
t # 661
v 0 6
v 1 12
v 2 6
v 3 1
v 4 12
v 5 12
v 6 1
v 7 19
v 8 8
v 9 11
e 0 1 12
e 0 3 11
e 0 7 14
e 1 2 13
e 1 6 14
e 1 4 18
e 1 7 5
e 2 4 12
e 2 5 12
e 2 7 14
e 3 8 0
e 3 4 14
e 4 7 5
e 4 6 14
e 5 9 18
t # 662
v 0 4
v 1 19
v 2 18
v 3 4
v 4 19
v 5 6
v 6 3
v 7 4
v 8 19
v 9 3
v 10 14
e 0 1 15
e 0 2 16
e 0 9 16
e 1 3 15
e 1 7 8
e 1 8 0
e 2 4 16
e 2 8 11
e 2 10 19
e 2 7 16
e 2 3 16
e 3 6 19
e 3 9 16
e 3 4 15
e 3 10 3
e 4 5 14
e 5 8 14
e 7 10 3
t # 663
v 0 7
v 1 9
v 2 13
v 3 5
v 4 7
v 5 19
v 6 14
v 7 19
v 8 4
v 9 13
v 10 4
e 0 1 17
e 0 2 11
e 1 4 17
e 1 6 15
e 2 3 14
e 2 5 10
e 2 7 10
e 2 10 9
e 2 8 9
e 4 8 12
e 4 9 11
e 5 6 1
e 5 9 10
e 5 7 0
e 5 8 15
e 6 10 3
e 6 8 3
e 7 9 10
e 9 10 9
t # 664
v 0 8
v 1 13
v 2 2
v 3 7
v 4 17
v 5 12
v 6 15
v 7 2
v 8 4
v 9 17
v 10 16
v 11 3
e 0 1 15
e 0 9 6
e 0 6 10
e 1 2 11
e 1 3 11
e 2 3 3
e 2 4 9
e 2 6 9
e 2 7 3
e 3 8 12
e 3 7 3
e 4 5 5
e 4 10 5
e 4 9 7
e 4 11 13
e 5 8 4
e 6 7 3
e 6 9 18
e 7 9 9
e 8 11 19
t # 665
v 0 3
v 1 11
v 2 4
v 3 14
v 4 14
v 5 7
v 6 8
v 7 14
v 8 11
v 9 11
v 10 9
v 11 0
v 12 19
e 0 1 9
e 0 2 16
e 0 8 6
e 0 9 6
e 1 5 3
e 1 9 7
e 1 4 5
e 1 6 9
e 2 3 6
e 2 4 6
e 3 7 6
e 3 4 6
e 3 10 15
e 4 6 9
e 4 11 4
e 4 12 1
e 5 9 3
e 5 10 10
e 5 11 5
e 6 7 9
e 6 12 1
e 7 8 5
e 8 11 1
e 9 11 1
t # 666
v 0 1
v 1 6
v 2 10
v 3 9
v 4 15
v 5 10
v 6 9
v 7 1
v 8 13
v 9 9
v 10 9
v 11 2
v 12 1
e 0 1 11
e 0 2 7
e 0 5 7
e 0 6 3
e 0 9 3
e 0 10 3
e 0 8 10
e 0 3 2
e 1 7 11
e 2 3 3
e 2 10 3
e 2 6 3
e 3 4 18
e 3 7 2
e 3 12 2
e 4 11 3
e 4 10 18
e 4 5 14
e 5 12 7
e 5 9 3
e 5 7 7
e 6 7 2
e 6 12 2
e 7 8 10
e 7 11 11
e 9 10 3
t # 667
v 0 4
v 1 14
v 2 3
v 3 11
v 4 18
v 5 7
v 6 17
v 7 19
v 8 18
e 0 1 6
e 0 2 19
e 0 4 3
e 0 7 15
e 0 5 12
e 1 8 6
e 1 4 19
e 2 3 9
e 3 5 3
e 3 6 7
e 4 7 16
e 4 8 19
e 7 8 16
t # 668
v 0 0
v 1 14
v 2 16
v 3 3
v 4 2
v 5 10
v 6 7
v 7 15
v 8 1
v 9 16
v 10 13
v 11 9
e 0 1 4
e 0 2 17
e 0 4 12
e 0 9 17
e 1 11 15
e 2 3 12
e 2 6 8
e 3 5 9
e 3 8 12
e 4 7 9
e 4 10 11
e 4 8 11
e 4 6 3
e 5 6 11
e 5 11 3
e 5 8 7
e 5 7 14
e 6 9 8
e 6 8 5
e 6 11 17
e 6 10 11
e 7 11 18
e 8 11 2
e 8 10 10
t # 669
v 0 1
v 1 9
v 2 13
v 3 8
v 4 4
v 5 15
v 6 2
v 7 13
v 8 7
v 9 7
v 10 10
e 0 1 2
e 0 2 10
e 0 7 10
e 0 9 5
e 0 10 7
e 1 5 18
e 1 10 3
e 2 3 15
e 2 4 9
e 2 6 11
e 2 8 11
e 3 5 10
e 4 7 14
e 4 9 12
e 5 6 3
e 7 8 11
e 7 9 11
e 8 10 3
t # 670
v 0 3
v 1 11
v 2 11
v 3 17
v 4 10
v 5 15
v 6 3
v 7 9
v 8 17
e 0 1 6
e 0 2 6
e 0 8 13
e 0 4 9
e 1 6 6
e 1 3 7
e 2 3 7
e 2 4 19
e 2 6 17
e 3 5 18
e 4 6 9
e 5 7 18
t # 671
v 0 11
v 1 14
v 2 16
v 3 1
v 4 3
v 5 0
v 6 8
v 7 2
v 8 14
v 9 17
e 0 1 5
e 0 4 9
e 0 8 5
e 1 2 6
e 1 3 9
e 1 6 9
e 1 5 4
e 2 5 17
e 2 9 5
e 2 6 17
e 3 8 9
e 3 4 12
e 3 7 11
e 5 7 11
e 7 9 6
t # 672
v 0 4
v 1 14
v 2 1
v 3 19
v 4 13
v 5 4
v 6 4
v 7 13
v 8 5
v 9 19
v 10 4
v 11 14
v 12 2
e 0 1 6
e 0 3 15
e 0 11 6
e 0 7 9
e 1 2 9
e 1 10 3
e 1 6 3
e 1 9 0
e 2 4 10
e 2 11 9
e 3 6 8
e 3 4 10
e 3 7 10
e 3 5 15
e 4 5 9
e 4 10 9
e 4 12 11
e 4 6 9
e 4 8 14
e 5 7 9
e 5 9 15
e 5 10 12
e 6 11 3
e 7 8 14
t # 673
v 0 7
v 1 9
v 2 4
v 3 1
v 4 18
v 5 19
v 6 10
v 7 8
v 8 7
v 9 10
v 10 19
v 11 7
v 12 19
e 0 1 10
e 0 2 12
e 0 3 5
e 0 6 11
e 0 9 11
e 1 8 17
e 1 11 5
e 1 7 14
e 1 6 3
e 2 4 3
e 2 5 8
e 2 12 8
e 3 7 0
e 3 8 5
e 4 10 11
e 5 9 12
e 5 12 0
e 6 9 3
e 6 10 12
e 6 8 11
e 7 10 1
e 7 12 1
e 8 9 11
e 8 11 5
t # 674
v 0 8
v 1 18
v 2 1
v 3 4
v 4 18
v 5 19
v 6 16
v 7 14
v 8 18
v 9 12
v 10 19
e 0 1 10
e 0 2 0
e 0 4 10
e 0 5 1
e 0 10 1
e 0 9 14
e 0 8 10
e 0 7 9
e 1 3 16
e 1 7 19
e 1 10 16
e 4 6 11
e 4 7 19
e 4 10 16
e 4 5 16
e 5 9 5
e 5 10 0
e 5 7 0
e 7 8 6
t # 675
v 0 1
v 1 7
v 2 0
v 3 2
v 4 0
v 5 11
v 6 16
v 7 9
v 8 0
v 9 2
v 10 19
e 0 1 5
e 0 3 11
e 0 7 3
e 0 9 11
e 1 2 5
e 1 5 3
e 1 8 5
e 1 3 3
e 1 6 8
e 2 9 12
e 2 3 12
e 3 4 11
e 3 8 12
e 4 5 1
e 4 6 17
e 4 10 16
e 5 8 1
e 6 8 17
e 8 10 16
e 8 9 12
t # 676
v 0 16
v 1 17
v 2 12
v 3 9
v 4 14
v 5 2
v 6 9
v 7 0
v 8 10
v 9 7
v 10 7
e 0 1 5
e 0 4 6
e 0 9 8
e 0 10 8
e 1 2 4
e 1 5 6
e 2 3 12
e 2 6 12
e 3 10 10
e 3 6 3
e 3 4 15
e 4 6 15
e 5 7 11
e 5 10 3
e 5 9 3
e 6 8 3
e 6 9 17
e 7 10 5
e 7 9 5
t # 677
v 0 0
v 1 7
v 2 2
v 3 2
v 4 10
v 5 5
v 6 15
v 7 10
v 8 17
v 9 10
v 10 15
v 11 1
v 12 15
e 0 1 5
e 0 3 12
e 1 2 3
e 1 3 3
e 1 4 11
e 1 7 3
e 1 9 3
e 1 11 5
e 2 6 3
e 2 8 9
e 2 12 3
e 2 10 3
e 3 8 9
e 3 10 3
e 3 6 3
e 4 5 4
e 4 12 14
e 4 11 7
e 4 10 14
e 5 11 19
e 6 8 18
e 7 9 3
e 8 10 18
e 9 12 14
e 10 12 18
t # 678
v 0 9
v 1 15
v 2 1
v 3 7
v 4 10
v 5 7
v 6 15
v 7 7
v 8 4
v 9 10
v 10 10
e 0 1 18
e 0 2 2
e 0 3 17
e 0 4 3
e 0 5 16
e 1 10 14
e 1 4 14
e 2 4 7
e 2 7 5
e 2 5 5
e 2 9 7
e 3 8 12
e 4 6 14
e 4 7 3
e 5 7 5
e 6 9 14
e 7 8 12
e 7 9 11
t # 679
v 0 8
v 1 15
v 2 12
v 3 17
v 4 15
v 5 4
v 6 17
v 7 19
v 8 2
v 9 8
v 10 1
e 0 1 10
e 0 2 14
e 0 6 6
e 0 3 6
e 0 9 9
e 1 3 18
e 1 8 3
e 2 5 4
e 2 7 5
e 2 9 14
e 3 4 2
e 3 6 7
e 3 9 6
e 4 9 10
e 4 6 18
e 6 8 9
e 7 9 1
e 8 10 11
t # 680
v 0 16
v 1 18
v 2 7
v 3 8
v 4 4
v 5 1
v 6 3
v 7 0
v 8 14
v 9 19
v 10 4
v 11 13
e 0 1 11
e 0 2 8
e 0 3 17
e 0 6 12
e 0 8 6
e 1 8 6
e 1 9 16
e 2 4 12
e 2 5 5
e 2 7 5
e 2 10 12
e 3 11 15
e 3 9 1
e 4 6 16
e 4 10 12
e 5 6 12
e 5 8 9
e 7 8 4
e 8 10 6
e 8 9 0
e 10 11 9
t # 681
v 0 16
v 1 18
v 2 17
v 3 14
v 4 12
v 5 14
v 6 8
v 7 17
v 8 17
v 9 17
v 10 15
e 0 1 11
e 0 2 5
e 0 6 17
e 0 7 5
e 1 3 6
e 1 5 6
e 2 4 5
e 2 6 6
e 2 7 7
e 2 8 7
e 4 8 5
e 4 9 5
e 4 6 14
e 6 9 6
e 6 10 10
e 7 10 18
e 8 9 7
t # 682
v 0 7
v 1 9
v 2 7
v 3 10
v 4 12
v 5 7
v 6 9
v 7 9
v 8 10
v 9 7
v 10 4
v 11 1
v 12 5
e 0 1 16
e 0 3 11
e 0 10 12
e 0 8 11
e 1 2 17
e 1 4 12
e 1 5 5
e 1 7 3
e 1 6 3
e 1 3 3
e 2 6 5
e 2 7 5
e 2 11 5
e 2 10 12
e 3 9 11
e 3 4 1
e 4 8 1
e 4 11 14
e 5 10 12
e 5 9 5
e 5 7 17
e 6 7 3
e 8 12 4
e 8 11 7
e 8 9 11
t # 683
v 0 7
v 1 16
v 2 14
v 3 1
v 4 17
v 5 17
v 6 1
v 7 11
v 8 3
v 9 14
v 10 8
v 11 11
e 0 1 8
e 0 3 5
e 0 7 3
e 1 2 6
e 1 4 5
e 1 5 5
e 1 8 12
e 1 10 17
e 2 6 9
e 2 3 9
e 2 10 9
e 2 7 5
e 3 9 9
e 4 8 13
e 5 7 7
e 5 8 13
e 6 9 9
e 6 10 0
e 7 8 6
e 9 11 5
e 10 11 9
t # 684
v 0 13
v 1 19
v 2 14
v 3 6
v 4 12
v 5 1
v 6 18
v 7 12
v 8 4
v 9 4
v 10 14
v 11 14
v 12 11
v 13 0
v 14 13
v 15 16
e 0 1 10
e 0 9 14
e 0 8 9
e 0 14 14
e 1 2 0
e 1 3 14
e 1 10 0
e 1 11 0
e 1 4 5
e 1 9 15
e 2 6 19
e 2 12 5
e 2 15 6
e 2 9 3
e 2 13 4
e 2 8 3
e 2 11 6
e 3 4 12
e 3 5 11
e 4 8 4
e 5 7 14
e 5 11 9
e 5 10 9
e 6 10 6
e 6 8 16
e 6 9 16
e 6 11 19
e 8 10 3
e 8 11 3
e 9 11 3
e 9 14 14
e 9 10 3
e 10 15 6
e 10 11 6
e 11 12 5
e 11 13 4
e 12 13 1
e 13 15 17
t # 685
v 0 3
v 1 10
v 2 4
v 3 14
v 4 11
v 5 18
v 6 7
v 7 19
v 8 0
v 9 19
v 10 6
v 11 19
e 0 1 9
e 0 2 19
e 0 4 9
e 1 6 11
e 2 3 6
e 2 7 15
e 2 11 15
e 2 9 15
e 2 5 16
e 2 6 12
e 3 5 19
e 3 8 4
e 3 9 0
e 3 11 0
e 5 7 16
e 6 8 5
e 7 9 0
e 7 8 16
e 8 11 16
e 9 10 14
e 9 11 0
e 10 11 14
t # 686
v 0 0
v 1 2
v 2 0
v 3 0
v 4 17
v 5 2
v 6 16
v 7 11
v 8 19
v 9 8
v 10 19
v 11 17
e 0 1 11
e 0 5 12
e 0 3 5
e 0 10 16
e 0 8 16
e 1 2 12
e 1 3 11
e 1 4 6
e 2 6 17
e 2 10 16
e 2 3 5
e 2 5 12
e 3 7 1
e 3 8 16
e 3 10 16
e 3 5 12
e 4 7 7
e 4 6 5
e 4 11 7
e 5 11 9
e 6 9 17
e 9 10 1
t # 687
v 0 11
v 1 12
v 2 3
v 3 5
v 4 8
v 5 3
v 6 7
v 7 19
v 8 0
v 9 13
v 10 13
v 11 11
v 12 10
e 0 1 18
e 0 2 6
e 0 3 8
e 0 5 9
e 0 6 3
e 0 8 1
e 0 12 4
e 1 4 14
e 1 7 5
e 1 11 18
e 1 12 1
e 2 12 9
e 2 5 13
e 2 11 6
e 2 10 1
e 2 9 1
e 3 9 14
e 3 10 14
e 4 10 15
e 5 12 9
e 5 10 1
e 5 9 1
e 6 11 3
e 8 11 1
t # 688
v 0 18
v 1 19
v 2 14
v 3 10
v 4 14
v 5 16
v 6 19
v 7 14
v 8 6
v 9 3
e 0 1 11
e 0 2 6
e 0 5 11
e 1 3 12
e 1 4 1
e 1 8 14
e 1 7 0
e 1 6 0
e 2 5 6
e 3 9 9
e 4 5 6
e 4 6 0
e 5 7 6
e 5 9 12
e 6 8 14
t # 689
v 0 18
